reviewId,content,score
d1e779ab-6394-44ed-865c-84f2e4d36014,satisfied with overall experience i do hope admin able to add in speed 175 or 2 thanks,3
d20cdffc-75c8-4727-860a-03b8975e4616,best moviesbest experience and userfriendly,5
a80d26a2-8b81-422b-96b1-f45554c73810,bast of the bast,5
0a1f57f2-6da6-422e-a87a-393c2b51cfe6,cant download,1
ebd9f39a-f280-4ab1-9944-9cea0c3bbb1b,netflix ceo have you seen your new smart tv interface fire the entire development team it ha reduced visibility of your title and literally impossible to have an overview or a workable browsing experience i dont know if you have outsourced the interface experience to some underfunded poor innovation short,1
fee55bab-3338-4c74-8d92-e4040073e14d,netflix is trash their standard subscription isnt worth the cost their premium is really not worth the cost and their cheap with ad option also cap your resolution at dogshit quality i only got this subscription because a gift card wa gifted to me and i still feel cheated this,1
7a2ef838-2d9c-471e-b2dd-852e6671b56b,it say there is a problem playing the video please try again 58,1
ae146301-c859-4ad4-b16d-2acd29129232,what the i hope all of you need to fix this because this wa horrible,1
fdeca5d8-2b1c-4dc5-be9a-2de1ced32c30,shittiest app in town it ha not worked in my phone in 6 month and their service centre is a bigger failure than the sdes theychave hired i strongly feel that all the sdes at netflix should resign and my try something easier and more suited to their caliber like,1
e3d6b4dc-b304-456f-a9cd-a597c0679118,before what happen everything wa okay n suddenly it log out my account automatically and i cant log in back it say something wa went wrong no it been a week i cant use my netflix since i pay for it i want to know the reasonthanks,5
8002a32c-6945-4960-8ce6-8dce13a53801,havent even gotten it to open yet,3
30ec3c14-8f41-4f57-9511-3e1d5a740b9e,amazing,5
156328fa-17ed-4d1b-ad82-8863e5d5f7fe,very useful,5
98e0114f-4dd9-4efa-99a6-fe2706668be1,better call saul,5
a156f6c9-dc69-4468-a03b-880b80fafce2,fantastic,5
7457820e-046b-46cc-9a68-201e32cb46a9,i love itthe best movie,5
142ad9af-cec4-42fa-b0bb-577784942be7,with pixel 7 android 15 back light keep on dim and bright again dim and bright again if i watch in dark place and brightnessfrom apps i set to maximum i dont know where too address this cause on other apps i didnt have issue like this,2
d6137322-46a9-4a2a-8e33-8f23c74d3983,very good but some season are not showing in dubai why,5
c2c9aa8b-1e4b-42a2-945c-31e8f1db3e2c,cant open it because it requires a damn update every 48hrs,1
77c573f9-902f-4f70-a3e5-36d63e1540db,recently on mobile the video keep dimming then brightening constantly no matter what setting i change with super annoying,2
8c3b0b2e-b0e7-42cd-9c2d-cf1417ab04eb,cool,5
2f1b64aa-c117-4b2b-9a3c-a98893aecaa0,work great on phone good quality and no lagging,5
1ad71af7-2059-4d77-b7ca-34f1631538d3,great,5
053e03b1-2905-4634-afb6-c5c9434b8a70,i havent looked at the review yet but if anyone ever put a onestar review on netflix they are kookoo crazy lol,5
a5338b0e-a655-49a2-8ef8-0951f03da00a,when i downloaded the app and tried to sign in it say somethings wrong please try again later when i tried again 15 time it still say that ima still give netflix a 45 and netflix please fix this,4
37f23ca6-2aa4-4ad8-9d43-140db8c1fc57,can not delete,1
66196736-7605-478e-88d2-6b92c44335ed,it wont let me download a show to watch,1
6c3933ea-41c4-4bd7-8846-9915928b7723,i love it so much,5
db4bd343-229f-43cb-a9eb-106fae01c4fc,used to be great but you guy keep pulling all of the actually good show off to cut cost not that i believe that with so many of the show having the same theme i mean seriously whats the point of airing an unfinished show that you cancelled before it,2
6401fba5-ea14-46bf-bc25-3dd60481c97d,best show and movie,5
69382dba-1687-41e0-bd7e-161073827ec7,increase and decrease of the brightness by itself hot chocolate is very much frustrating the brightness tends to increase and sometimes decrease by itself while watching a video this is quite frustrating please fix this im using google pixel 6 plan,2
8fc10a09-388f-444f-970c-ed77a43da5b3,good,5
752cbc8f-74f7-455d-b360-7a7c44b4f351,it good but doo beter nexsrtb time ok sorry,3
11dfbccf-e075-4d0b-9caa-75d819b59110,wow brilliant,5
31bf1acd-c275-464c-ab36-caa7e8517d1e,this app is doing just great and is working properly,4
5774e573-173c-4040-a66f-8cc14391ec1a,this last update i cant watch anything at all the loading screen just sits forever please fix samsung a14 5g,1
580895a8-51b0-49f7-9e6e-95b475750ce4,are the movie free,5
878e814a-8553-4abe-a9cd-0fe23f9cf5e8,am having isues with my netflix always experienced black screen with sound what will i do please,3
d5756482-e201-4916-ba92-9f41bc58389b,nice,5
ecd6efce-f740-4c37-8408-833d007c4189,stop being so greedy get a life,1
dc03c3ab-459e-4d4c-ad33-aff704d557a6,super,5
7ee38b1e-6fb5-4822-801a-04aadd85736c,good app,5
92f08e3d-492d-472b-9ad5-a747a4f5fe4b,the new update is pathetic,1
7d456e21-9ac8-4a7f-8a9f-adf85e8b327c,it nice and very expensive,5
9b94ab2a-008c-4fbe-9d8b-e4b44bf4e0ad,it wont let me sign back in also say my number is invalid,1
1062d829-3e22-43d1-ac21-e9cc6df80140,cant connect to netflix try again later for a whole week now every other app still work i cant even logg on to cancel membership,1
ae816ddf-bd0a-4a30-90d5-86e2415d39a2,they have a bunch of overseas movie that you cant understand netflix wa good now it just play garbage,1
6ea3fcd5-f57d-4cd8-9930-04af972f0ba3,no longer allows for show and movie to play on mobile app with every update only fix is to uninstall and reinstall,1
80ecbcdc-d8f8-4b15-9fd3-46371cfefa49,glitching outrageously wont let me see my home page get all the family profile confused,1
a248cc86-2418-403d-809e-e13a01feecd2,doesnt offer decent value or movie,2
b0ead781-e299-4a60-bb9d-1db8f7b5ec49,paying for a service shouldnt be more effort to use than alternative used to like it and even with the content being limited it wa worth it for my household but blocking me on my home wifi and requiring me the main member to ket a temporary access token is,1
cbd49d31-e306-4516-bd88-ff32750cb8a6,release dragon ball daima english dub,1
d448ca97-717a-48b1-a704-6c52d51bbc33,payment method system is very poor dont have many option to chose from,1
4d33b004-07ed-4f03-a72a-8f039ea85d80,great aap,5
7f4683c0-722c-4d98-b5b2-0b871a850087,get rid of the brightness setting phone already have those so youre just making the app more annoying to use,1
fe93afcf-2790-40bf-9f56-bd4d7f15be8a,cant able to play 720p no response and wrong information given by them netflix suck,1
d2f205f2-7999-416d-af77-e06701363d0f,paying the money is really not worth the benefit and the fact that i can not share with my family is the ultimate let down,1
7e738ac5-8b86-4d7f-b843-40808de8fcc7,my downloads say expired when i dont stwitch on data,3
0d5228eb-d18f-41dd-9008-f8b99993568f,netflix is such a scam now,1
61ed53fa-6f11-4725-934c-3292ed088360,the amount of content get smaller but since moving to europe cant watch some title at all,2
5d97e144-b52a-4971-82e3-37ff2d332c21,,5
47e2620b-8444-4b8e-8b8d-0d0fe6cf98f7,nice app for movie and other thing,5
112ae415-b166-4161-9c84-88e3cf9c3a9e,error 571 done everything and a lot more they probably changed the popm of the app and is doing every bad move from the playbook,1
0cdcc759-989f-4280-8fc5-d75ba4b8f9d4,he best app on world,5
667602f4-11a1-4381-ad07-396805eb4e93,joke of a streaming service wont allow me to use it after 9 year and when they escalate the issue internally they tell me to wait no turn around time no compensation no resolution joke of a company,1
0907ca6c-9807-473b-811f-8e8ddcf581aa,everything is good,5
04f5abd9-d9c4-4096-bf65-b2c8fc112b27,continue watching option ha suddenly disappeared on android what a terrible user experience,1
421941ce-2bd5-4321-90d6-1aa5cb8858bd,amazing movie threling horror movie,5
2c99f506-b922-4023-9c6b-a41c12e4f6a9,bad,1
9f6d3a3c-3981-4202-97f0-ea3e955693a5,excellent,5
a857e074-71f0-4ca8-93eb-217830885d91,im a sailor constantly on the move cant log in to my account cause my device is not part of my household device why doe your software not just leave u alone instead of making matter worse bird brain programmer fiddling with code that wa working fine earlier get out,1
1f2308a6-2092-4849-a0ea-a46605c308cf,my netflix app keep going back to update app whenever i update it because of that i cant download anything,2
c29cc44d-6ea9-4115-9072-f5fa2d36065a,best of the best,5
17e883bd-5e1f-44e4-969e-42ddbc094d4a,meny problem in netflix and propaly not working and,1
acb93872-bba3-4f25-a1e7-eeaef9fd4dd9,it pretty easy,5
68255a7c-1e92-4539-90b5-08b6c06dce52,ive had netflix for over 8 year for the first 4 year the app wa awesome updating every category each month with show movie and original disappointed the last 2 year it seems like netflix ha neglected it customer expectation they gave u in the beginning ive been trying to,3
d4c08192-2ada-47bf-96f4-5855bc33296e,great but no much video to watch,2
f06f9a51-c14e-497f-914f-9c937201f960,,5
01d71837-bf10-497f-8fe9-2f3ab3f74421,worst experience ever i used to use netflix before but now with this household stuff i cant sign in until i get an email to authorize my sign in bye bye netflix and hello rarbg,1
8f24b3e5-247c-411a-9185-d11d80f33b5a,very good,5
5386433b-d4d3-467a-ba4d-77f1ce5d1790,i bought subscription but it show payment pending after 10 day i got subscription on 25225 and it expires on 5325 i purchased 200 monthly plan,1
f496c9bb-2e33-48e3-a22c-79cb685556a1,dissapointing service asked an employee for help and they said im sorry but it your fault,1
61020d2b-706c-409f-9f94-e5fa8faee345,luv netflix,5
01cb4ea3-7be8-4ed5-8312-97b30f7f8c49,can someone please tell me why when ive downloaded netflix and wan na sign in it keep on kicking me out im not able to sign in,1
31fdd3f7-23f3-4c27-844f-796a02f860e8,ok,5
6da32401-267b-4ba9-b827-ee2c8c950219,it did not letting me in the app,1
ea7beeb3-e4ad-4d41-bd19-2115af84ee03,huawei ok dlm hri raya,5
20d93390-f8c1-44ff-b48b-428831eca968,welll i wa made to believe that you and affiliate offered me free movie with this service and down load and oh but were offering this service at a low cost to you b s,1
79b7001e-32fc-4aa4-aa87-061379efa2b6,i love it,4
8902fb35-e9ab-43dd-9011-8267dcf3cfbe,,1
df86a4bc-b3d3-4e14-956b-cbccdb9f9884,good movie but it wont let me download on ipad good movie but wont let me download app on ipad,2
24189064-7596-4051-a796-152eaf3146f8,why dont netflix bring new movie there are some movie i want to watch but it not on netflix why i have no issue with the app but some movie are unavailable it making me loose interest,2
a1cc83e1-ba2d-48ae-bf8c-b4f90d4a2561,boring app,1
d5b0130b-f774-4daa-b352-92c27ade943e,people need to stop supporting the model of paying for ad then paying more than twice the price to remove them i am being forced to do this guess who is unsubscribing me,2
527a9c6c-68c5-4df1-b322-d98817f60735,netflix offer an extensive library of movie tv show and original the smooth streaming multiple profile and offline downloads make it the best entertainment app,5
4e3a597d-d371-4886-87d4-13669e0b746b,when i update it say i still have to update it unusable,1
2577a7e2-a6d9-491f-9de8-e1433c3ac5c0,tried to create an account but i wasnt working it wa displaying error,1
77a84b29-f835-4f9c-9df6-7b21b0a267ac,absolutely perfect platform to watch web series and others international and domestic movie,5
0c748c73-9743-4d20-9388-8756264912c2,some movie no have tamil audioand familyscant see some moviesbad,5
e4b38938-738d-4ec6-ad44-00598d13404d,show keep disappearing,1
67f2b5bc-b606-42f0-b459-4da24cd8b330,i honestly like the company but here recently the mobile app just doesnt work im on a no ad family plan and whenever i choose a profile on mobile only i just cant connect to their network on any other device netflix work fine it only mobile though this ha,1
